"No.","Time","Source","Destination","Protocol","Length","Data rate (Mb/s)","Info","Bandwidth"
"14023","872.448000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1603, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14024","872.550400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1604, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14025","872.652800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1605, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14026","872.755200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1606, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14027","872.857600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1607, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14028","872.960000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1608, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14029","872.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"14030","872.999549","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"14031","872.999559","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"14032","873.000517","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"14033","873.009727","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"14034","873.026925","192.168.239.4","192.168.239.1","UDP","2112","","49153  >  9 Len=2048","2112"
"14035","873.027239","","00:00:00_00:00:04 (00:00:00:00:00:04) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"14036","873.029017","192.168.239.1","192.168.239.4","UDP","2112","","9  >  49153 Len=2048","2112"
