"No.","Time","Source","Destination","Protocol","Length","Data rate (Mb/s)","Info","Bandwidth"
"495","34.099200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=374, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"496","34.201600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=375, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"497","34.304000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=376, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"498","34.406400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=377, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"499","34.508800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=378, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"500","34.611200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=379, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"501","34.713600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=380, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"502","34.816000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=381, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"503","34.918400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=382, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"504","34.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"505","34.983460","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"506","34.984494","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"507","34.984504","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"508","35.020800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=384, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"509","35.123200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=385, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"510","35.225600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=386, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
