No.,Time,Length,Device IP,Day
325,0 days 00:00:38.802491647,86,192.168.239.95,1
326,0 days 00:00:38.852140423,86,192.168.239.95,1
327,0 days 00:00:40.345167901,103,192.168.239.7,1
328,0 days 00:00:41.574404946,125,192.168.239.7,1
329,0 days 00:00:41.574405197,86,192.168.239.95,1
330,0 days 00:00:41.574429638,86,192.168.239.95,1
331,0 days 00:00:41.574613376,86,192.168.239.95,1
332,0 days 00:00:41.603726550,86,192.168.239.95,1
333,0 days 00:00:43.158407157,42,192.168.239.67,1
334,0 days 00:00:43.161802775,42,192.168.239.67,1
335,0 days 00:00:43.417624535,42,192.168.239.7,1
336,0 days 00:00:43.417635111,42,192.168.239.7,1
337,0 days 00:00:44.441579342,140,192.168.239.7,1
338,0 days 00:00:44.442222767,144,192.168.239.67,1
339,0 days 00:00:44.646077825,86,192.168.239.95,1
340,0 days 00:00:45.670374051,124,192.168.239.67,1
341,0 days 00:00:45.670399577,86,192.168.239.95,1
342,0 days 00:00:46.058622599,74,192.168.239.7,1
343,0 days 00:00:46.058729358,99,192.168.239.7,1
344,0 days 00:00:46.059859682,171,192.168.239.7,1
345,0 days 00:00:46.060310769,125,192.168.239.67,1
346,0 days 00:00:46.103606571,90,192.168.239.7,1
347,0 days 00:00:46.105354940,158,192.168.239.67,1
348,0 days 00:00:46.105654688,125,192.168.239.7,1
349,0 days 00:00:46.112975743,86,192.168.239.95,1
350,0 days 00:00:46.112975792,86,192.168.239.95,1
351,0 days 00:00:46.113450835,125,192.168.239.67,1
352,0 days 00:00:46.154438051,86,192.168.239.95,1
353,0 days 00:00:46.177863269,86,192.168.239.95,1
354,0 days 00:00:46.179077322,86,192.168.239.95,1
355,0 days 00:00:46.179077380,125,192.168.239.67,1
356,0 days 00:00:46.179084709,86,192.168.239.95,1
357,0 days 00:00:46.203718040,115,192.168.239.67,1
358,0 days 00:00:46.205425813,444,192.168.239.7,1
359,0 days 00:00:46.205719630,125,192.168.239.7,1
360,0 days 00:00:46.244924277,181,192.168.239.67,1
361,0 days 00:00:46.244924379,1294,192.168.239.67,1
362,0 days 00:00:46.244981827,86,192.168.239.95,1
363,0 days 00:00:46.245022295,86,192.168.239.95,1
364,0 days 00:00:46.246578888,425,192.168.239.67,1
365,0 days 00:00:46.246584237,86,192.168.239.95,1
366,0 days 00:00:46.246697515,125,192.168.239.7,1
367,0 days 00:00:46.246701868,86,192.168.239.95,1
368,0 days 00:00:46.247011442,121,192.168.239.7,1
369,0 days 00:00:46.247022287,125,192.168.239.67,1
370,0 days 00:00:46.327072778,86,192.168.239.95,1
371,0 days 00:00:46.332244154,86,192.168.239.95,1
